condition,face_idx,slug,det_rate,mean_conf,max_conf
cn_ptd,7,forest,0.0,0.0,0.0
cn_ptd,8,ancient_ruins,0.0,0.0,0.0
cn_ptd,9,city_street,0.0,0.0,0.0
cn_ptd,10,waterfall,0.0,0.0,0.0
cn_ptd,11,sea_cliff,0.0,0.0,0.0
cn_ptd,12,volcano,0.0,0.0,0.0
cn_ptd,13,glacier,0.0,0.0,0.0
cn_ptd,14,cave_entrance,0.0,0.0,0.0
cn_ptd,15,beach,0.0,0.0,0.0
cn_ptd,16,ocean_waves,0.0,0.0,0.0
cn_ptd,17,iceberg,0.0,0.0,0.0
cn_ptd,18,fjord,0.0,0.0,0.0
cn_ptd,19,tropical_lagoon,0.5409836065573771,0.5473041552485842,0.6042347550392151
cn_ptd,20,desert_oasis,0.0,0.0,0.0
cn_ptd,21,hot_springs,0.0,0.0,0.0
cn_ptd,22,geyser,0.0,0.0,0.0
cn_ptd,23,aurora,0.0,0.0,0.0
cn_ptd,24,starry_night,0.0,0.0,0.0
cn_ptd,25,sunset_hills,0.06557377049180328,0.5179295539855957,0.5318156480789185
cn_ptd,26,storm_clouds,0.0,0.0,0.0
cn_ptd,27,lightning_storm,1.0,0.5819996849435275,0.6537797451019287
cn_ptd,28,foggy_valley,0.0,0.0,0.0
cn_ptd,29,misty_morning,0.8688524590163934,0.5469118963997319,0.5751772522926331
cn_ptd,30,rainforest,0.7868852459016393,0.5588372026880583,0.6151506304740906
cn_ptd,31,bamboo_forest,0.0,0.0,0.0
cn_ptd,32,autumn_forest,0.0,0.0,0.0
cn_ptd,33,winter_forest,0.0,0.0,0.0
cn_ptd,34,pine_forest,0.0,0.0,0.0
cn_ptd,35,misty_forest,0.03278688524590164,0.5326223969459534,0.5528100728988647
cn_ptd,36,moonlit_forest,0.0,0.0,0.0
cn_ptd,37,wildflower_meadow,0.0,0.0,0.0
cn_ptd,38,lavender_field,0.0,0.0,0.0
cn_ptd,39,sunflower_field,0.0,0.0,0.0
cn_ptd,40,wheat_field,0.0,0.0,0.0
cn_ptd,41,rice_terraces,0.0,0.0,0.0
cn_ptd,42,vineyard,0.0,0.0,0.0
cn_ptd,43,tea_plantation,0.0,0.0,0.0
cn_ptd,44,cherry_blossom,0.0,0.0,0.0
cn_ptd,45,ancient_oak,0.0,0.0,0.0
cn_ptd,46,willow_tree,0.0,0.0,0.0
cn_ptd,47,baobab_tree,0.7868852459016393,0.616802953183651,0.795019268989563
cn_ptd,48,overgrown_garden,0.0,0.0,0.0
cn_ptd,49,mesa,0.01639344262295082,0.5571250319480896,0.5571250319480896
cn_ptd,50,rock_arch,0.0,0.0,0.0
cn_ptd,51,hoodoos,0.0,0.0,0.0
cn_ptd,52,sea_stacks,0.0,0.0,0.0
cn_ptd,53,salt_flat,0.0,0.0,0.0
cn_ptd,54,crystal_cave,0.0,0.0,0.0
cn_ptd,55,basalt_columns,0.0,0.0,0.0
cn_ptd,56,badlands,0.0,0.0,0.0
cn_ptd,57,high_plateau,0.03278688524590164,0.5381556749343872,0.5388473868370056
cn_ptd,58,limestone_cliff,0.0,0.0,0.0
cn_ptd,59,medieval_castle,0.0,0.0,0.0
cn_ptd,60,gothic_cathedral,0.0,0.0,0.0
cn_ptd,61,roman_ruins,1.0,0.6602578944847232,0.6826545000076294
cn_ptd,62,japanese_temple,0.0,0.0,0.0
cn_ptd,63,chinese_pagoda,0.0,0.0,0.0
cn_ptd,64,jungle_temple,0.0,0.0,0.0
cn_ptd,65,lighthouse,0.0,0.0,0.0
cn_ptd,66,stone_bridge,0.0,0.0,0.0
cn_ptd,67,abandoned_factory,0.2459016393442623,0.7596806844075521,0.801240086555481
cn_ptd,68,old_train_station,0.0,0.0,0.0
cn_ptd,69,moroccan_market,0.4426229508196721,0.5222960865056073,0.5622972846031189
cn_ptd,70,venetian_canal,0.9508196721311475,0.5554815746586899,0.6100203990936279
cn_ptd,71,parisian_street,0.0,0.0,0.0
cn_ptd,72,tuscan_village,1.0,0.6870540702929262,0.7619649171829224
cn_ptd,73,alpine_village,0.0,0.0,0.0
cn_ptd,74,nordic_village,0.0,0.0,0.0
cn_ptd,75,english_countryside,0.0,0.0,0.0
