condition,face_idx,slug,viclip
cn_ptd,23,aurora,0.28555378317832947
cn_ptd,24,starry_night,0.30477458238601685
cn_ptd,25,sunset_hills,0.21890534460544586
cn_ptd,26,storm_clouds,0.2502286434173584
cn_ptd,27,lightning_storm,0.2930182218551636
cn_ptd,28,foggy_valley,0.25704410672187805
cn_ptd,29,misty_morning,0.1871316134929657
cn_ptd,30,rainforest,0.23819276690483093
cn_ptd,31,bamboo_forest,0.20457948744297028
cn_ptd,32,autumn_forest,0.31514933705329895
cn_ptd,33,winter_forest,0.29567039012908936
cn_ptd,34,pine_forest,0.24907934665679932
cn_ptd,35,misty_forest,0.18237560987472534
cn_ptd,36,moonlit_forest,0.22125045955181122
cn_ptd,37,wildflower_meadow,0.26071953773498535
cn_ptd,38,lavender_field,0.27459660172462463
cn_ptd,39,sunflower_field,0.2645844519138336
cn_ptd,40,wheat_field,0.32894349098205566
cn_ptd,41,rice_terraces,0.24716095626354218
cn_ptd,42,vineyard,0.20094040036201477
cn_ptd,43,tea_plantation,0.3100513815879822
cn_ptd,44,cherry_blossom,0.22647126019001007
cn_ptd,45,ancient_oak,0.21946707367897034
cn_ptd,46,willow_tree,0.17822599411010742
cn_ptd,47,baobab_tree,0.33021873235702515
cn_ptd,48,overgrown_garden,0.18775658309459686
cn_ptd,49,mesa,0.1436234712600708
cn_ptd,50,rock_arch,0.34419897198677063
cn_ptd,51,hoodoos,0.2546665668487549
cn_ptd,52,sea_stacks,0.2605637311935425
cn_ptd,53,salt_flat,0.15393732488155365
cn_ptd,54,crystal_cave,0.2679363489151001
cn_ptd,55,basalt_columns,0.13699421286582947
cn_ptd,56,badlands,0.1225610077381134
cn_ptd,57,high_plateau,0.1711607575416565
cn_ptd,58,limestone_cliff,0.20636196434497833
cn_ptd,59,medieval_castle,0.34357431530952454
cn_ptd,60,gothic_cathedral,0.2685938775539398
cn_ptd,61,roman_ruins,0.14335185289382935
cn_ptd,62,japanese_temple,0.2551233470439911
cn_ptd,63,chinese_pagoda,0.2043226957321167
cn_ptd,64,jungle_temple,0.3614530861377716
cn_ptd,65,lighthouse,0.25624117255210876
cn_ptd,66,stone_bridge,0.2701534628868103
cn_ptd,67,abandoned_factory,0.22022876143455505
cn_ptd,68,old_train_station,0.1698257476091385
cn_ptd,69,moroccan_market,0.24578332901000977
cn_ptd,70,venetian_canal,0.25864240527153015
cn_ptd,71,parisian_street,0.32590916752815247
cn_ptd,72,tuscan_village,0.21745935082435608
cn_ptd,73,alpine_village,0.2470797747373581
cn_ptd,74,nordic_village,0.1857205182313919
cn_ptd,75,english_countryside,0.22765955328941345
cn_ptd,76,harbor_dusk,0.25404536724090576
cn_ptd,77,rooftop_city,0.19033655524253845
cn_ptd,78,skyline_night,0.22591719031333923
cn_ptd,79,subway_tunnel,0.24184828996658325
cn_ptd,80,back_alley,0.2676571011543274
cn_ptd,81,stormy_sea,0.2925786077976227
cn_ptd,82,calm_lake,0.22112113237380981
cn_ptd,83,frozen_lake,0.2824561595916748
cn_ptd,84,reflection_pond,0.30270490050315857
cn_ptd,85,coral_reef,0.1565726399421692
cn_ptd,86,mangrove_forest,0.2326676845550537
cn_ptd,87,misty_swamp,0.10762092471122742
cn_ptd,88,arctic_tundra,0.21547335386276245
cn_ptd,89,african_savanna,0.2287714034318924
cn_ptd,90,twilight_plain,0.202045738697052
cn_ptd,91,golden_hour_field,0.2804732024669647
cn_ptd,92,sunrise_mountains,0.31477102637290955
cn_ptd,93,rainbow_valley,0.30057457089424133
cn_ptd,94,tornado_plains,0.1394006907939911
cn_ptd,95,starry_desert,0.2822261154651642
cn_ptd,96,weathered_stone,0.17866083979606628
cn_ptd,97,tree_bark,0.08498845994472504
cn_ptd,98,cracked_earth,0.2607567310333252
cn_ptd,99,ivy_wall,0.36273902654647827
ptd_only,0,snowy_mountain,0.2173803448677063
ptd_only,1,canyon,0.12535446882247925
ptd_only,2,sand_dune,0.0463937371969223
ptd_only,3,desert,0.05834560841321945
ptd_only,4,mountain_stream,-0.0105036161839962
ptd_only,5,sky,0.15390126407146454
ptd_only,6,village_mountains,0.2505605220794678
ptd_only,7,forest,0.1389392465353012
ptd_only,8,ancient_ruins,0.26064640283584595
ptd_only,9,city_street,0.03756827116012573
ptd_only,10,waterfall,0.16959908604621887
ptd_only,11,sea_cliff,0.041903018951416016
ptd_only,12,volcano,-0.05333811044692993
ptd_only,13,glacier,0.015327926725149155
ptd_only,14,cave_entrance,0.15871603786945343
ptd_only,15,beach,-0.034952908754348755
ptd_only,16,ocean_waves,0.1414344608783722
ptd_only,17,iceberg,0.013082623481750488
ptd_only,18,fjord,0.00944053940474987
ptd_only,19,tropical_lagoon,-0.02446647733449936
ptd_only,20,desert_oasis,0.04917709156870842
ptd_only,21,hot_springs,0.1308491975069046
ptd_only,22,geyser,0.05994170531630516
ptd_only,23,aurora,0.12019006907939911
ptd_only,24,starry_night,0.21086859703063965
ptd_only,25,sunset_hills,0.03393346443772316
ptd_only,26,storm_clouds,0.1771523356437683
ptd_only,27,lightning_storm,0.02106981724500656
ptd_only,28,foggy_valley,-0.030316846445202827
ptd_only,29,misty_morning,0.019987594336271286
ptd_only,30,rainforest,0.1774330586194992
ptd_only,31,bamboo_forest,0.05299878492951393
ptd_only,32,autumn_forest,0.015508877113461494
ptd_only,33,winter_forest,0.20670631527900696
ptd_only,34,pine_forest,0.10835743695497513
ptd_only,35,misty_forest,0.045412756502628326
ptd_only,36,moonlit_forest,-0.1087285578250885
ptd_only,37,wildflower_meadow,0.032555535435676575
ptd_only,38,lavender_field,0.0569877028465271
ptd_only,39,sunflower_field,-0.021626848727464676
ptd_only,40,wheat_field,0.1736675202846527
ptd_only,41,rice_terraces,-0.055192507803440094
ptd_only,42,vineyard,0.12875902652740479
ptd_only,43,tea_plantation,0.03718433529138565
ptd_only,44,cherry_blossom,0.19933778047561646
ptd_only,45,ancient_oak,0.25985610485076904
ptd_only,46,willow_tree,-0.04756755009293556
ptd_only,47,baobab_tree,-0.04143444076180458
ptd_only,48,overgrown_garden,0.1727777123451233
ptd_only,49,mesa,-0.027062341570854187
ptd_only,50,rock_arch,0.0499514639377594
ptd_only,51,hoodoos,0.0687948614358902
ptd_only,52,sea_stacks,-0.05042362958192825
ptd_only,53,salt_flat,0.053541600704193115
ptd_only,54,crystal_cave,0.07607866823673248
ptd_only,55,basalt_columns,-0.006993383169174194
ptd_only,56,badlands,0.011144716292619705
ptd_only,57,high_plateau,0.04146299138665199
ptd_only,58,limestone_cliff,0.02586236782371998
ptd_only,59,medieval_castle,0.29091134667396545
ptd_only,60,gothic_cathedral,0.12903229892253876
ptd_only,61,roman_ruins,0.12611685693264008
ptd_only,62,japanese_temple,0.1264195591211319
ptd_only,63,chinese_pagoda,-0.07869080454111099
ptd_only,64,jungle_temple,0.3537052571773529
ptd_only,65,lighthouse,0.029532024636864662
ptd_only,66,stone_bridge,0.11634775996208191
ptd_only,67,abandoned_factory,0.04505227133631706
ptd_only,68,old_train_station,0.09723833203315735
ptd_only,69,moroccan_market,0.1222303956747055
ptd_only,70,venetian_canal,-0.027606025338172913
ptd_only,71,parisian_street,0.11714310944080353
ptd_only,72,tuscan_village,0.24799565970897675
ptd_only,73,alpine_village,0.025751203298568726
ptd_only,74,nordic_village,-0.015110371634364128
ptd_only,75,english_countryside,-0.010892221704125404
ptd_only,76,harbor_dusk,0.09714774787425995
ptd_only,77,rooftop_city,-0.03509032726287842
ptd_only,78,skyline_night,0.09989651292562485
ptd_only,79,subway_tunnel,0.13912621140480042
ptd_only,80,back_alley,0.18947935104370117
ptd_only,81,stormy_sea,0.24359269440174103
ptd_only,82,calm_lake,0.03039226308465004
ptd_only,83,frozen_lake,0.12040294706821442
ptd_only,84,reflection_pond,0.1119627133011818
ptd_only,85,coral_reef,-0.029729630798101425
ptd_only,86,mangrove_forest,0.13013331592082977
ptd_only,87,misty_swamp,0.1721992939710617
ptd_only,88,arctic_tundra,0.16272088885307312
ptd_only,89,african_savanna,-0.06697416305541992
ptd_only,90,twilight_plain,-0.04880144074559212
ptd_only,91,golden_hour_field,0.050377510488033295
ptd_only,92,sunrise_mountains,-0.04113825038075447
ptd_only,93,rainbow_valley,0.18994346261024475
ptd_only,94,tornado_plains,-0.024940233677625656
ptd_only,95,starry_desert,-0.02355455607175827
ptd_only,96,weathered_stone,0.1985163688659668
ptd_only,97,tree_bark,0.06639175117015839
ptd_only,98,cracked_earth,0.09133374691009521
ptd_only,99,ivy_wall,0.064161516726017
vanilla,0,snowy_mountain,0.1269201636314392
vanilla,1,canyon,0.25017207860946655
vanilla,2,sand_dune,0.0531911626458168
vanilla,3,desert,0.09140502661466599
vanilla,4,mountain_stream,0.22970780730247498
vanilla,5,sky,0.09564550220966339
vanilla,6,village_mountains,-0.012893671169877052
vanilla,7,forest,0.0947260856628418
vanilla,8,ancient_ruins,0.13613557815551758
vanilla,9,city_street,0.05744794011116028
vanilla,10,waterfall,0.04843524098396301
vanilla,11,sea_cliff,0.24117735028266907
vanilla,12,volcano,0.1920192539691925
vanilla,13,glacier,0.22781765460968018
vanilla,14,cave_entrance,0.09233628213405609
vanilla,15,beach,0.06380392611026764
vanilla,16,ocean_waves,0.09745564311742783
vanilla,17,iceberg,0.23641908168792725
vanilla,18,fjord,0.13298431038856506
vanilla,19,tropical_lagoon,-0.043180033564567566
vanilla,20,desert_oasis,0.039635270833969116
vanilla,21,hot_springs,0.05647818371653557
vanilla,22,geyser,0.212015300989151
vanilla,23,aurora,0.2779023349285126
vanilla,24,starry_night,0.12631471455097198
vanilla,25,sunset_hills,0.1287156641483307
vanilla,26,storm_clouds,0.09427398443222046
vanilla,27,lightning_storm,0.019464557990431786
vanilla,28,foggy_valley,-0.05399838089942932
vanilla,29,misty_morning,0.016371585428714752
vanilla,30,rainforest,0.11840426921844482
vanilla,31,bamboo_forest,0.013777082785964012
vanilla,32,autumn_forest,0.014187720604240894
vanilla,33,winter_forest,0.09013295918703079
vanilla,34,pine_forest,0.06273253262042999
vanilla,35,misty_forest,0.0347437746822834
vanilla,36,moonlit_forest,0.011414587497711182
vanilla,37,wildflower_meadow,0.010224947705864906
vanilla,38,lavender_field,-0.0045356061309576035
vanilla,39,sunflower_field,0.209019273519516
vanilla,40,wheat_field,-0.0064892396330833435
vanilla,41,rice_terraces,0.015481734648346901
vanilla,42,vineyard,0.16993635892868042
vanilla,43,tea_plantation,0.29169410467147827
vanilla,44,cherry_blossom,0.09389762580394745
vanilla,45,ancient_oak,-0.03697575628757477
