condition,face_idx,slug,lpips,score
cn_only,90,twilight_plain,0.8195863366127014,0.18041366338729858
cn_only,91,golden_hour_field,0.7838258743286133,0.21617412567138672
cn_only,92,sunrise_mountains,0.745907723903656,0.254092276096344
cn_only,93,rainbow_valley,0.7886288166046143,0.21137118339538574
cn_only,94,tornado_plains,0.7517576217651367,0.24824237823486328
cn_only,95,starry_desert,0.787594199180603,0.21240580081939697
cn_only,96,weathered_stone,0.6940695643424988,0.3059304356575012
cn_only,97,tree_bark,0.7999839782714844,0.20001602172851562
cn_only,98,cracked_earth,0.811567485332489,0.188432514667511
cn_only,99,ivy_wall,0.7612097263336182,0.23879027366638184
cn_ptd,0,snowy_mountain,0.6531924605369568,0.3468075394630432
cn_ptd,1,canyon,0.5821948051452637,0.41780519485473633
cn_ptd,2,sand_dune,0.6922845840454102,0.30771541595458984
cn_ptd,3,desert,0.6841079592704773,0.3158920407295227
cn_ptd,4,mountain_stream,0.7449444532394409,0.2550555467605591
cn_ptd,5,sky,0.6744781732559204,0.3255218267440796
cn_ptd,6,village_mountains,0.661846399307251,0.338153600692749
cn_ptd,7,forest,0.7947719097137451,0.20522809028625488
cn_ptd,8,ancient_ruins,0.7505507469177246,0.2494492530822754
cn_ptd,9,city_street,0.7529886960983276,0.24701130390167236
cn_ptd,10,waterfall,0.6906579732894897,0.30934202671051025
cn_ptd,11,sea_cliff,0.748469889163971,0.25153011083602905
cn_ptd,12,volcano,0.7908902168273926,0.20910978317260742
cn_ptd,13,glacier,0.6962885856628418,0.3037114143371582
cn_ptd,14,cave_entrance,0.6630640625953674,0.33693593740463257
cn_ptd,15,beach,0.732003390789032,0.267996609210968
cn_ptd,16,ocean_waves,0.6492547392845154,0.3507452607154846
cn_ptd,17,iceberg,0.687982439994812,0.312017560005188
cn_ptd,18,fjord,0.6564458608627319,0.34355413913726807
cn_ptd,19,tropical_lagoon,0.7106835246086121,0.28931647539138794
cn_ptd,20,desert_oasis,0.6372328996658325,0.3627671003341675
cn_ptd,21,hot_springs,0.7993996739387512,0.20060032606124878
cn_ptd,22,geyser,0.7259256839752197,0.2740743160247803
cn_ptd,23,aurora,0.6776836514472961,0.32231634855270386
cn_ptd,24,starry_night,0.7220279574394226,0.2779720425605774
cn_ptd,25,sunset_hills,0.665286660194397,0.334713339805603
cn_ptd,26,storm_clouds,0.7258728742599487,0.27412712574005127
cn_ptd,27,lightning_storm,0.7007492780685425,0.2992507219314575
cn_ptd,28,foggy_valley,0.7087085247039795,0.2912914752960205
cn_ptd,29,misty_morning,0.732757031917572,0.267242968082428
cn_ptd,30,rainforest,0.6781042814254761,0.3218957185745239
cn_ptd,31,bamboo_forest,0.7763683199882507,0.22363168001174927
cn_ptd,32,autumn_forest,0.8229536414146423,0.17704635858535767
cn_ptd,33,winter_forest,0.7388771176338196,0.2611228823661804
cn_ptd,34,pine_forest,0.771344780921936,0.22865521907806396
cn_ptd,35,misty_forest,0.7637010812759399,0.23629891872406006
cn_ptd,36,moonlit_forest,0.7091082334518433,0.29089176654815674
cn_ptd,37,wildflower_meadow,0.7568647861480713,0.2431352138519287
cn_ptd,38,lavender_field,0.7184406518936157,0.2815593481063843
cn_ptd,39,sunflower_field,0.7606068849563599,0.23939311504364014
cn_ptd,40,wheat_field,0.7549604177474976,0.24503958225250244
cn_ptd,41,rice_terraces,0.6477261781692505,0.3522738218307495
cn_ptd,42,vineyard,0.6299307346343994,0.3700692653656006
cn_ptd,43,tea_plantation,0.7791245579719543,0.22087544202804565
cn_ptd,44,cherry_blossom,0.7467763423919678,0.2532236576080322
cn_ptd,45,ancient_oak,0.7314570546150208,0.26854294538497925
cn_ptd,46,willow_tree,0.7508271932601929,0.24917280673980713
cn_ptd,47,baobab_tree,0.7137648463249207,0.28623515367507935
cn_ptd,48,overgrown_garden,0.6656802892684937,0.33431971073150635
cn_ptd,49,mesa,0.6232401132583618,0.3767598867416382
cn_ptd,50,rock_arch,0.6769421100616455,0.3230578899383545
cn_ptd,51,hoodoos,0.6833568811416626,0.3166431188583374
cn_ptd,52,sea_stacks,0.6812556982040405,0.3187443017959595
cn_ptd,53,salt_flat,0.6301006078720093,0.3698993921279907
cn_ptd,54,crystal_cave,0.7049078345298767,0.2950921654701233
cn_ptd,55,basalt_columns,0.7394111156463623,0.2605888843536377
cn_ptd,56,badlands,0.6877580881118774,0.31224191188812256
cn_ptd,57,high_plateau,0.6149494647979736,0.38505053520202637
cn_ptd,58,limestone_cliff,0.6193453073501587,0.3806546926498413
cn_ptd,59,medieval_castle,0.6833449006080627,0.31665509939193726
cn_ptd,60,gothic_cathedral,0.7330375909805298,0.2669624090194702
cn_ptd,61,roman_ruins,0.7203388810157776,0.2796611189842224
cn_ptd,62,japanese_temple,0.6846327781677246,0.3153672218322754
cn_ptd,63,chinese_pagoda,0.7062070965766907,0.2937929034233093
cn_ptd,64,jungle_temple,0.7688746452331543,0.2311253547668457
cn_ptd,65,lighthouse,0.7627598643302917,0.23724013566970825
cn_ptd,66,stone_bridge,0.6777728796005249,0.3222271203994751
cn_ptd,67,abandoned_factory,0.7454894781112671,0.2545105218887329
cn_ptd,68,old_train_station,0.7353028059005737,0.26469719409942627
cn_ptd,69,moroccan_market,0.7461087107658386,0.2538912892341614
cn_ptd,70,venetian_canal,0.7090576887130737,0.29094231128692627
cn_ptd,71,parisian_street,0.7349774837493896,0.26502251625061035
cn_ptd,72,tuscan_village,0.7741380929946899,0.22586190700531006
cn_ptd,73,alpine_village,0.6980946063995361,0.30190539360046387
cn_ptd,74,nordic_village,0.7126437425613403,0.28735625743865967
cn_ptd,75,english_countryside,0.6613139510154724,0.3386860489845276
cn_ptd,76,harbor_dusk,0.692244827747345,0.30775517225265503
cn_ptd,77,rooftop_city,0.8026822209358215,0.19731777906417847
