condition,face_idx,slug,aesthetic
cn_ptd,27,lightning_storm,6.480521202087402
cn_ptd,28,foggy_valley,7.684370994567871
cn_ptd,29,misty_morning,7.791729927062988
cn_ptd,30,rainforest,6.476635456085205
cn_ptd,31,bamboo_forest,5.667864799499512
cn_ptd,32,autumn_forest,5.110217094421387
cn_ptd,33,winter_forest,5.777027606964111
cn_ptd,34,pine_forest,5.928644180297852
cn_ptd,35,misty_forest,4.745050430297852
cn_ptd,36,moonlit_forest,6.751055717468262
cn_ptd,37,wildflower_meadow,8.016788482666016
cn_ptd,38,lavender_field,5.837243556976318
cn_ptd,39,sunflower_field,5.360050201416016
cn_ptd,40,wheat_field,6.814011573791504
cn_ptd,41,rice_terraces,6.41812801361084
cn_ptd,42,vineyard,5.200439453125
cn_ptd,43,tea_plantation,7.465293884277344
cn_ptd,44,cherry_blossom,5.907001495361328
cn_ptd,45,ancient_oak,7.154452323913574
cn_ptd,46,willow_tree,5.797900199890137
cn_ptd,47,baobab_tree,7.662496566772461
cn_ptd,48,overgrown_garden,6.665661811828613
cn_ptd,49,mesa,5.435615539550781
cn_ptd,50,rock_arch,7.2531890869140625
cn_ptd,51,hoodoos,5.702974319458008
cn_ptd,52,sea_stacks,6.906841278076172
cn_ptd,53,salt_flat,5.673907279968262
cn_ptd,54,crystal_cave,5.50703239440918
cn_ptd,55,basalt_columns,4.273118495941162
cn_ptd,56,badlands,6.106293678283691
cn_ptd,57,high_plateau,6.549785614013672
cn_ptd,58,limestone_cliff,5.819823265075684
cn_ptd,59,medieval_castle,6.55841588973999
cn_ptd,60,gothic_cathedral,6.90431022644043
cn_ptd,61,roman_ruins,7.822159767150879
cn_ptd,62,japanese_temple,6.202117443084717
cn_ptd,63,chinese_pagoda,6.694240093231201
cn_ptd,64,jungle_temple,7.200247764587402
cn_ptd,65,lighthouse,6.156296730041504
cn_ptd,66,stone_bridge,7.199193954467773
cn_ptd,67,abandoned_factory,6.024684906005859
cn_ptd,68,old_train_station,6.468695640563965
cn_ptd,69,moroccan_market,6.704278945922852
cn_ptd,70,venetian_canal,6.487538814544678
cn_ptd,71,parisian_street,7.301629066467285
cn_ptd,72,tuscan_village,6.9223480224609375
cn_ptd,73,alpine_village,6.594502925872803
cn_ptd,74,nordic_village,5.795099258422852
cn_ptd,75,english_countryside,5.462921619415283
cn_ptd,76,harbor_dusk,5.026856422424316
cn_ptd,77,rooftop_city,6.789966583251953
cn_ptd,78,skyline_night,5.112695217132568
cn_ptd,79,subway_tunnel,6.759754180908203
cn_ptd,80,back_alley,7.206104278564453
cn_ptd,81,stormy_sea,7.196051597595215
cn_ptd,82,calm_lake,7.8061909675598145
cn_ptd,83,frozen_lake,7.294288158416748
cn_ptd,84,reflection_pond,5.990122318267822
cn_ptd,85,coral_reef,5.391946792602539
cn_ptd,86,mangrove_forest,6.24406623840332
cn_ptd,87,misty_swamp,5.332198619842529
cn_ptd,88,arctic_tundra,5.315872669219971
cn_ptd,89,african_savanna,5.50810432434082
cn_ptd,90,twilight_plain,5.715203762054443
cn_ptd,91,golden_hour_field,6.204496383666992
cn_ptd,92,sunrise_mountains,6.768705368041992
cn_ptd,93,rainbow_valley,7.242918968200684
cn_ptd,94,tornado_plains,5.821610450744629
cn_ptd,95,starry_desert,6.201770782470703
cn_ptd,96,weathered_stone,5.1994171142578125
cn_ptd,97,tree_bark,5.388603687286377
cn_ptd,98,cracked_earth,4.484428405761719
cn_ptd,99,ivy_wall,5.697593688964844
ptd_only,0,snowy_mountain,5.523064613342285
ptd_only,1,canyon,4.77708625793457
ptd_only,2,sand_dune,4.755051612854004
ptd_only,3,desert,5.003631114959717
ptd_only,4,mountain_stream,5.217782974243164
ptd_only,5,sky,5.027066707611084
ptd_only,6,village_mountains,6.128007888793945
ptd_only,7,forest,5.075814247131348
ptd_only,8,ancient_ruins,4.905519485473633
ptd_only,9,city_street,5.240445137023926
ptd_only,10,waterfall,4.465820789337158
ptd_only,11,sea_cliff,5.699131011962891
ptd_only,12,volcano,4.791558265686035
ptd_only,13,glacier,6.410667896270752
ptd_only,14,cave_entrance,5.210946083068848
ptd_only,15,beach,5.59567928314209
ptd_only,16,ocean_waves,3.887282133102417
ptd_only,17,iceberg,4.18648624420166
ptd_only,18,fjord,4.510578155517578
ptd_only,19,tropical_lagoon,5.56117057800293
ptd_only,20,desert_oasis,6.146649360656738
ptd_only,21,hot_springs,6.045080184936523
ptd_only,22,geyser,5.76661491394043
ptd_only,23,aurora,4.443714141845703
ptd_only,24,starry_night,5.210659980773926
ptd_only,25,sunset_hills,5.728904724121094
ptd_only,26,storm_clouds,4.722163677215576
ptd_only,27,lightning_storm,5.6780476570129395
ptd_only,28,foggy_valley,5.55679178237915
ptd_only,29,misty_morning,5.497140407562256
ptd_only,30,rainforest,5.667881011962891
ptd_only,31,bamboo_forest,4.750744819641113
ptd_only,32,autumn_forest,4.339995861053467
ptd_only,33,winter_forest,5.742800712585449
ptd_only,34,pine_forest,5.427324295043945
ptd_only,35,misty_forest,4.856093406677246
ptd_only,36,moonlit_forest,5.650360107421875
ptd_only,37,wildflower_meadow,5.23071813583374
ptd_only,38,lavender_field,5.385113716125488
ptd_only,39,sunflower_field,5.184814929962158
ptd_only,40,wheat_field,5.178865909576416
ptd_only,41,rice_terraces,5.6637983322143555
ptd_only,42,vineyard,4.641116142272949
ptd_only,43,tea_plantation,4.283456802368164
ptd_only,44,cherry_blossom,5.85567045211792
ptd_only,45,ancient_oak,5.653025150299072
ptd_only,46,willow_tree,6.141802787780762
ptd_only,47,baobab_tree,4.8213019371032715
ptd_only,48,overgrown_garden,3.2464513778686523
ptd_only,49,mesa,5.9307756423950195
ptd_only,50,rock_arch,5.574342727661133
ptd_only,51,hoodoos,5.828357696533203
ptd_only,52,sea_stacks,5.992253303527832
ptd_only,53,salt_flat,5.597251892089844
ptd_only,54,crystal_cave,5.109005928039551
ptd_only,55,basalt_columns,6.274252891540527
ptd_only,56,badlands,5.096643447875977
ptd_only,57,high_plateau,5.081256866455078
ptd_only,58,limestone_cliff,4.1694841384887695
ptd_only,59,medieval_castle,7.591560363769531
ptd_only,60,gothic_cathedral,6.750542640686035
ptd_only,61,roman_ruins,6.004453182220459
ptd_only,62,japanese_temple,4.679651260375977
ptd_only,63,chinese_pagoda,5.4392852783203125
ptd_only,64,jungle_temple,5.5757646560668945
ptd_only,65,lighthouse,5.799177169799805
ptd_only,66,stone_bridge,4.785164833068848
ptd_only,67,abandoned_factory,5.221073150634766
ptd_only,68,old_train_station,3.977473258972168
ptd_only,69,moroccan_market,6.9673380851745605
ptd_only,70,venetian_canal,5.090909957885742
ptd_only,71,parisian_street,7.067839622497559
ptd_only,72,tuscan_village,6.490696907043457
ptd_only,73,alpine_village,4.8957624435424805
ptd_only,74,nordic_village,5.50296688079834
ptd_only,75,english_countryside,5.391752243041992
ptd_only,76,harbor_dusk,7.151405334472656
ptd_only,77,rooftop_city,5.74857234954834
ptd_only,78,skyline_night,5.35455322265625
ptd_only,79,subway_tunnel,4.492858409881592
ptd_only,80,back_alley,5.413088321685791
ptd_only,81,stormy_sea,5.585858345031738
ptd_only,82,calm_lake,4.787961006164551
ptd_only,83,frozen_lake,5.977182388305664
ptd_only,84,reflection_pond,5.29299259185791
ptd_only,85,coral_reef,5.761629104614258
ptd_only,86,mangrove_forest,3.6240792274475098
ptd_only,87,misty_swamp,5.0979323387146
ptd_only,88,arctic_tundra,3.359271764755249
ptd_only,89,african_savanna,5.3671875
ptd_only,90,twilight_plain,4.440943717956543
ptd_only,91,golden_hour_field,6.102961540222168
ptd_only,92,sunrise_mountains,5.214091777801514
ptd_only,93,rainbow_valley,6.174975395202637
ptd_only,94,tornado_plains,5.552197456359863
ptd_only,95,starry_desert,5.564150810241699
ptd_only,96,weathered_stone,5.364850044250488
ptd_only,97,tree_bark,5.450586795806885
ptd_only,98,cracked_earth,5.174223899841309
ptd_only,99,ivy_wall,4.909496307373047
vanilla,0,snowy_mountain,4.8425493240356445
vanilla,1,canyon,6.641936302185059
vanilla,2,sand_dune,5.400750160217285
vanilla,3,desert,5.727283477783203
vanilla,4,mountain_stream,4.770074844360352
vanilla,5,sky,4.844996452331543
vanilla,6,village_mountains,5.906092643737793
vanilla,7,forest,5.897916793823242
vanilla,8,ancient_ruins,5.114943981170654
vanilla,9,city_street,7.118215560913086
vanilla,10,waterfall,6.2435150146484375
vanilla,11,sea_cliff,5.093366622924805
vanilla,12,volcano,4.864344120025635
vanilla,13,glacier,4.643528938293457
vanilla,14,cave_entrance,5.683746814727783
vanilla,15,beach,5.090502738952637
vanilla,16,ocean_waves,4.960106372833252
vanilla,17,iceberg,5.264012813568115
vanilla,18,fjord,5.052751541137695
vanilla,19,tropical_lagoon,5.810984134674072
vanilla,20,desert_oasis,6.511199951171875
vanilla,21,hot_springs,5.5721235275268555
vanilla,22,geyser,4.18272590637207
vanilla,23,aurora,5.330053329467773
vanilla,24,starry_night,4.738988876342773
vanilla,25,sunset_hills,5.545070648193359
vanilla,26,storm_clouds,4.775933265686035
vanilla,27,lightning_storm,5.132683277130127
vanilla,28,foggy_valley,5.861051559448242
vanilla,29,misty_morning,6.414741516113281
vanilla,30,rainforest,6.066332817077637
vanilla,31,bamboo_forest,5.002331733703613
vanilla,32,autumn_forest,5.412595748901367
vanilla,33,winter_forest,5.487993240356445
vanilla,34,pine_forest,5.835293769836426
vanilla,35,misty_forest,4.990322589874268
vanilla,36,moonlit_forest,6.1139912605285645
vanilla,37,wildflower_meadow,6.317337512969971
vanilla,38,lavender_field,5.387547492980957
vanilla,39,sunflower_field,5.443336486816406
vanilla,40,wheat_field,6.669623374938965
vanilla,41,rice_terraces,6.138926029205322
vanilla,42,vineyard,5.9987592697143555
vanilla,43,tea_plantation,5.115928649902344
vanilla,44,cherry_blossom,5.12330961227417
vanilla,45,ancient_oak,6.080331802368164
vanilla,46,willow_tree,6.249258518218994
vanilla,47,baobab_tree,5.625859260559082
vanilla,48,overgrown_garden,4.387331962585449
vanilla,49,mesa,4.62580680847168
vanilla,50,rock_arch,6.116569519042969
vanilla,51,hoodoos,4.808039665222168
vanilla,52,sea_stacks,5.180129051208496
vanilla,53,salt_flat,5.267336845397949
vanilla,54,crystal_cave,5.523956298828125
vanilla,55,basalt_columns,4.668941497802734
vanilla,56,badlands,4.945531845092773
vanilla,57,high_plateau,6.271307468414307
vanilla,58,limestone_cliff,5.4012250900268555
vanilla,59,medieval_castle,5.809917449951172
vanilla,60,gothic_cathedral,6.039741516113281
vanilla,61,roman_ruins,6.038332939147949
vanilla,62,japanese_temple,5.019906044006348
vanilla,63,chinese_pagoda,6.488917350769043
vanilla,64,jungle_temple,5.710697174072266
vanilla,65,lighthouse,5.16200590133667
vanilla,66,stone_bridge,5.703606128692627
vanilla,67,abandoned_factory,6.04759407043457
vanilla,68,old_train_station,5.318525314331055
vanilla,69,moroccan_market,5.212590217590332
vanilla,70,venetian_canal,5.725595474243164
vanilla,71,parisian_street,5.204595565795898
vanilla,72,tuscan_village,5.767880439758301
vanilla,73,alpine_village,6.188490867614746
vanilla,74,nordic_village,7.3542070388793945
vanilla,75,english_countryside,5.604045391082764
vanilla,76,harbor_dusk,6.686079502105713
vanilla,77,rooftop_city,6.1478729248046875
vanilla,78,skyline_night,4.933470726013184
vanilla,79,subway_tunnel,5.252128601074219
vanilla,80,back_alley,5.421689033508301
vanilla,81,stormy_sea,4.461252212524414
vanilla,82,calm_lake,6.430960655212402
vanilla,83,frozen_lake,4.923603057861328
