condition,face_idx,slug,lpips,score
cn_only,0,snowy_mountain,0.8132347464561462,0.18676525354385376
cn_only,1,canyon,0.787527859210968,0.21247214078903198
cn_only,2,sand_dune,0.7689111232757568,0.23108887672424316
cn_only,3,desert,0.6850974559783936,0.31490254402160645
cn_only,4,mountain_stream,0.8003974556922913,0.19960254430770874
cn_only,5,sky,0.7820456027984619,0.21795439720153809
cn_only,6,village_mountains,0.7288467288017273,0.2711532711982727
cn_only,7,forest,0.8097732663154602,0.1902267336845398
cn_only,8,ancient_ruins,0.7951210141181946,0.20487898588180542
cn_only,9,city_street,0.8153622150421143,0.18463778495788574
cn_only,10,waterfall,0.7491300702095032,0.2508699297904968
cn_only,11,sea_cliff,0.8322322368621826,0.16776776313781738
cn_only,12,volcano,0.8068988919258118,0.19310110807418823
cn_only,13,glacier,0.8080987930297852,0.19190120697021484
cn_only,14,cave_entrance,0.7452413439750671,0.25475865602493286
cn_only,15,beach,0.8270193934440613,0.17298060655593872
cn_only,16,ocean_waves,0.8025975227355957,0.1974024772644043
cn_only,17,iceberg,0.8000414967536926,0.19995850324630737
cn_only,18,fjord,0.7771494388580322,0.22285056114196777
cn_only,19,tropical_lagoon,0.7977488040924072,0.20225119590759277
cn_only,20,desert_oasis,0.7221983075141907,0.2778016924858093
cn_only,21,hot_springs,0.807409942150116,0.19259005784988403
cn_only,22,geyser,0.7697238326072693,0.2302761673927307
cn_only,23,aurora,0.838028073310852,0.16197192668914795
cn_only,24,starry_night,0.7751646041870117,0.22483539581298828
cn_only,25,sunset_hills,0.8188582062721252,0.18114179372787476
cn_only,26,storm_clouds,0.7796282768249512,0.22037172317504883
cn_only,27,lightning_storm,0.7893909811973572,0.21060901880264282
cn_only,28,foggy_valley,0.7849904298782349,0.21500957012176514
cn_only,29,misty_morning,0.8247853517532349,0.17521464824676514
cn_only,30,rainforest,0.7465960383415222,0.2534039616584778
cn_only,31,bamboo_forest,0.8230167627334595,0.17698323726654053
cn_only,32,autumn_forest,0.8201507925987244,0.17984920740127563
cn_only,33,winter_forest,0.813072919845581,0.18692708015441895
cn_only,34,pine_forest,0.8007660508155823,0.19923394918441772
cn_only,35,misty_forest,0.8266521096229553,0.17334789037704468
cn_only,36,moonlit_forest,0.8073129653930664,0.1926870346069336
cn_only,37,wildflower_meadow,0.8094106912612915,0.1905893087387085
cn_only,38,lavender_field,0.7834357619285583,0.21656423807144165
cn_only,39,sunflower_field,0.8063305616378784,0.19366943836212158
cn_only,40,wheat_field,0.8131851553916931,0.18681484460830688
cn_only,41,rice_terraces,0.8169299960136414,0.18307000398635864
cn_only,42,vineyard,0.8099172115325928,0.19008278846740723
cn_only,43,tea_plantation,0.849907398223877,0.15009260177612305
cn_only,44,cherry_blossom,0.7684270143508911,0.2315729856491089
cn_only,45,ancient_oak,0.8123735189437866,0.18762648105621338
cn_only,46,willow_tree,0.8089458346366882,0.19105416536331177
cn_only,47,baobab_tree,0.8047531843185425,0.19524681568145752
cn_only,48,overgrown_garden,0.801638126373291,0.19836187362670898
cn_only,49,mesa,0.7706800103187561,0.2293199896812439
cn_only,50,rock_arch,0.7392903566360474,0.26070964336395264
cn_only,51,hoodoos,0.7749562859535217,0.22504371404647827
cn_only,52,sea_stacks,0.7748115062713623,0.2251884937286377
cn_only,53,salt_flat,0.8023579120635986,0.19764208793640137
cn_only,54,crystal_cave,0.7828092575073242,0.21719074249267578
cn_only,55,basalt_columns,0.7909480929374695,0.20905190706253052
cn_only,56,badlands,0.8293547034263611,0.17064529657363892
cn_only,57,high_plateau,0.8097524642944336,0.1902475357055664
cn_only,58,limestone_cliff,0.7726244926452637,0.22737550735473633
cn_only,59,medieval_castle,0.7627845406532288,0.23721545934677124
cn_only,60,gothic_cathedral,0.7643011808395386,0.23569881916046143
cn_only,61,roman_ruins,0.7747339606285095,0.22526603937149048
cn_only,62,japanese_temple,0.8404613137245178,0.15953868627548218
cn_only,63,chinese_pagoda,0.7639110088348389,0.23608899116516113
cn_only,64,jungle_temple,0.8736125826835632,0.12638741731643677
cn_only,65,lighthouse,0.7584666013717651,0.24153339862823486
cn_only,66,stone_bridge,0.8356935977935791,0.1643064022064209
cn_only,67,abandoned_factory,0.7888888120651245,0.2111111879348755
cn_only,68,old_train_station,0.7947065234184265,0.2052934765815735
cn_only,69,moroccan_market,0.8257080912590027,0.17429190874099731
cn_only,70,venetian_canal,0.8034389019012451,0.19656109809875488
cn_only,71,parisian_street,0.8398110866546631,0.16018891334533691
cn_only,72,tuscan_village,0.787916898727417,0.212083101272583
cn_only,73,alpine_village,0.8105740547180176,0.18942594528198242
cn_only,74,nordic_village,0.8218967318534851,0.1781032681465149
cn_only,75,english_countryside,0.7696829438209534,0.23031705617904663
cn_only,76,harbor_dusk,0.7559321522712708,0.24406784772872925
cn_only,77,rooftop_city,0.8564866781234741,0.14351332187652588
cn_only,78,skyline_night,0.8194653987884521,0.18053460121154785
cn_only,79,subway_tunnel,0.8145209550857544,0.1854790449142456
cn_only,80,back_alley,0.8023563623428345,0.19764363765716553
cn_only,81,stormy_sea,0.7781699895858765,0.22183001041412354
cn_only,82,calm_lake,0.7825383543968201,0.21746164560317993
cn_only,83,frozen_lake,0.805108368396759,0.19489163160324097
cn_only,84,reflection_pond,0.7686657309532166,0.23133426904678345
cn_only,85,coral_reef,0.8352622389793396,0.1647377610206604
cn_only,86,mangrove_forest,0.7782450914382935,0.22175490856170654
